group,parameters,fraction_percent
encoder.blocks.1,4336389,50.03886433968356
encoder.blocks.0,1089157,12.568102023968958
decoder.cross_blocks.1,789813,9.113883823780222
decoder.self_blocks.0,596485,6.8830153373362375
final_decoder.conv_block_list.0,295680,3.411938229701633
decoder.upsample_layers.0,295040,3.404553082018296
initial_encoder.conv_block_list.2,221952,2.561169216581226
decoder.cross_blocks.0,198709,2.29296142345029
final_decoder.upsample_list.0,147584,1.7030150557774817
final_decoder.upsample_list.1,147584,1.7030150557774817
encoder.down_layers.0,132096,1.5242944818407296
final_decoder.conv_block_list.1,110976,1.280584608290613
initial_encoder.patch_merge_list.2,66560,0.7680553590670343
z_proj,65792,0.7591931818470301
initial_encoder.conv_block_list.1,46464,0.5361617218102567
final_decoder.upsample_list.2,36928,0.4261230213285373
encoder.down_layer_global_proj.0,33024,0.3810736204601824
initial_encoder.patch_merge_list.1,16896,0.19496789884009333
final_decoder.conv_block_list.2,11616,0.13404043045256417
enc_pos_embed.H_embed,4096,0.04726494517335596
enc_pos_embed.W_embed,4096,0.04726494517335596
dec_pos_embed.H_embed,4096,0.04726494517335596
dec_pos_embed.W_embed,4096,0.04726494517335596
dec_pos_embed.T_embed,3072,0.035448708880016964
initial_encoder.patch_merge_list.0,2592,0.029909848117514317
initial_encoder.conv_block_list.0,2544,0.02935596204126405
enc_pos_embed.T_embed,1664,0.019201383976675857
init_global_vectors,1024,0.01181623629333899
dec_final_proj,17,0.00019616798533863557
